slug,title,site,date_published,word_count,reading_time_minutes,position,impressions,clicks,ctr,pageviews,unique_visitors,bounce_rate,email_signups,affiliate_clicks,revenue
best-credit-cards-for-groceries-2025,Best Credit Cards for Groceries 2025,credit,2026-03-04,901,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
best-credit-cards-for-groceries-2025_1,Best Credit Cards for Groceries 2025,credit,2026-03-04,849,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
best-credit-cards-for-groceries-2025_2,Best Credit Cards for Groceries 2025,credit,2026-03-04,848,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
best-credit-cards-for-groceries-2025_3,Best Credit Cards for Groceries 2025,credit,2026-03-04,775,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0
best-credit-cards-for-groceries-2025_4,Best Credit Cards for Groceries 2025,credit,2026-03-04,915,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
best-credit-cards-for-groceries-2025_5,Best Credit Cards for Groceries 2025,credit,2026-03-04,891,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
best-credit-cards-for-groceries-2026,Best Credit Cards for Groceries 2026,credit,2026-03-04,803,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
best-credit-cards-for-groceries-2026_1,Best Credit Cards for Groceries 2026,credit,2026-03-04,819,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
best-credit-cards-for-groceries-2026_2,Best Credit Cards for Groceries 2026,credit,2026-03-04,779,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0
best-credit-cards-for-groceries-2026_3,Best Credit Cards for Groceries 2026,credit,2026-03-04,777,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0
best-credit-cards-for-groceries-2026_4,Best Credit Cards for Groceries 2026,credit,2026-03-04,851,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
best-credit-cards-for-groceries-2026_5,Best Credit Cards for Groceries 2026,credit,2026-03-04,880,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups,Business Credit Cards for Startups,credit,2026-03-04,888,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_1,Business Credit Cards for Startups,credit,2026-03-04,892,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_10,Business Credit Cards for Startups,credit,2026-03-04,883,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_11,Business Credit Cards for Startups,credit,2026-03-04,847,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_12,Business Credit Cards for Startups,credit,2026-03-04,871,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_13,Business Credit Cards for Startups,credit,2026-03-04,852,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_14,Business Credit Cards for Startups,credit,2026-03-04,786,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_15,Business Credit Cards for Startups,credit,2026-03-04,855,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_16,Business Credit Cards for Startups,credit,2026-03-04,935,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_17,Business Credit Cards for Startups,credit,2026-03-04,845,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_18,Business Credit Cards for Startups,credit,2026-03-04,861,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_19,Business Credit Cards for Startups,credit,2026-03-04,836,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_2,Business Credit Cards for Startups,credit,2026-03-04,844,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_20,Business Credit Cards for Startups,credit,2026-03-04,879,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_21,Business Credit Cards for Startups,credit,2026-03-04,845,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_22,Business Credit Cards for Startups,credit,2026-03-04,836,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_23,Business Credit Cards for Startups,credit,2026-03-04,791,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_3,Business Credit Cards for Startups,credit,2026-03-04,956,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_4,Business Credit Cards for Startups,credit,2026-03-04,836,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_5,Business Credit Cards for Startups,credit,2026-03-04,823,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_6,Business Credit Cards for Startups,credit,2026-03-04,850,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_7,Business Credit Cards for Startups,credit,2026-03-04,833,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_8,Business Credit Cards for Startups,credit,2026-03-04,889,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_9,Business Credit Cards for Startups,credit,2026-03-04,837,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review,Capital One Venture X Card Review,credit,2026-03-04,931,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_1,Capital One Venture X Card Review,credit,2026-03-04,982,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_10,Capital One Venture X Card Review,credit,2026-03-04,972,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_11,Capital One Venture X Card Review,credit,2026-03-04,864,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_12,Capital One Venture X Card Review,credit,2026-03-04,972,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_13,Capital One Venture X Card Review,credit,2026-03-04,908,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_14,Capital One Venture X Card Review,credit,2026-03-04,1012,5,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_15,Capital One Venture X Card Review,credit,2026-03-04,882,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_16,Capital One Venture X Card Review,credit,2026-03-04,961,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_17,Capital One Venture X Card Review,credit,2026-03-04,890,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_18,Capital One Venture X Card Review,credit,2026-03-04,916,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_19,Capital One Venture X Card Review,credit,2026-03-04,991,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_2,Capital One Venture X Card Review,credit,2026-03-04,922,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_20,Capital One Venture X Card Review,credit,2026-03-04,914,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_21,Capital One Venture X Card Review,credit,2026-03-04,945,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_22,Capital One Venture X Card Review,credit,2026-03-04,861,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_23,Capital One Venture X Card Review,credit,2026-03-04,963,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_3,Capital One Venture X Card Review,credit,2026-03-04,872,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_4,Capital One Venture X Card Review,credit,2026-03-04,888,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_5,Capital One Venture X Card Review,credit,2026-03-04,882,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_6,Capital One Venture X Card Review,credit,2026-03-04,925,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_7,Capital One Venture X Card Review,credit,2026-03-04,872,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_8,Capital One Venture X Card Review,credit,2026-03-04,901,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
capital-one-venture-x-card-review_9,Capital One Venture X Card Review,credit,2026-03-04,911,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2025,Chase Sapphire Preferred vs Reserve 2025,credit,2026-03-04,888,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2025_1,Chase Sapphire Preferred vs Reserve 2025,credit,2026-03-04,830,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2025_2,Chase Sapphire Preferred vs Reserve 2025,credit,2026-03-04,858,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2025_3,Chase Sapphire Preferred vs Reserve 2025,credit,2026-03-04,900,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2025_4,Chase Sapphire Preferred vs Reserve 2025,credit,2026-03-04,857,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2025_5,Chase Sapphire Preferred vs Reserve 2025,credit,2026-03-04,844,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2026,Chase Sapphire Preferred vs Reserve 2026,credit,2026-03-04,918,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2026_1,Chase Sapphire Preferred vs Reserve 2026,credit,2026-03-04,849,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2026_10,Chase Sapphire Preferred vs Reserve 2026,credit,2026-03-04,884,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2026_11,Chase Sapphire Preferred vs Reserve 2026,credit,2026-03-04,853,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2026_12,Chase Sapphire Preferred vs Reserve 2026,credit,2026-03-04,894,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2026_13,Chase Sapphire Preferred vs Reserve 2026,credit,2026-03-04,836,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2026_14,Chase Sapphire Preferred vs Reserve 2026,credit,2026-03-04,817,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2026_15,Chase Sapphire Preferred vs Reserve 2026,credit,2026-03-04,862,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2026_16,Chase Sapphire Preferred vs Reserve 2026,credit,2026-03-04,835,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2026_17,Chase Sapphire Preferred vs Reserve 2026,credit,2026-03-04,828,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2026_2,Chase Sapphire Preferred vs Reserve 2026,credit,2026-03-04,886,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2026_3,Chase Sapphire Preferred vs Reserve 2026,credit,2026-03-04,884,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2026_4,Chase Sapphire Preferred vs Reserve 2026,credit,2026-03-04,860,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2026_5,Chase Sapphire Preferred vs Reserve 2026,credit,2026-03-04,844,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2026_6,Chase Sapphire Preferred vs Reserve 2026,credit,2026-03-04,826,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2026_7,Chase Sapphire Preferred vs Reserve 2026,credit,2026-03-04,866,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2026_8,Chase Sapphire Preferred vs Reserve 2026,credit,2026-03-04,880,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
chase-sapphire-preferred-vs-reserve-2026_9,Chase Sapphire Preferred vs Reserve 2026,credit,2026-03-04,926,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards,How to Maximize Credit Card Rewards,credit,2026-03-04,828,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_1,How to Maximize Credit Card Rewards,credit,2026-03-04,829,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_10,How to Maximize Credit Card Rewards,credit,2026-03-04,808,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_11,How to Maximize Credit Card Rewards,credit,2026-03-04,891,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_12,How to Maximize Credit Card Rewards,credit,2026-03-04,861,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_13,How to Maximize Credit Card Rewards,credit,2026-03-04,872,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_14,How to Maximize Credit Card Rewards,credit,2026-03-04,863,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_15,How to Maximize Credit Card Rewards,credit,2026-03-04,808,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_16,How to Maximize Credit Card Rewards,credit,2026-03-04,822,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_17,How to Maximize Credit Card Rewards,credit,2026-03-04,810,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_18,How to Maximize Credit Card Rewards,credit,2026-03-04,877,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_19,How to Maximize Credit Card Rewards,credit,2026-03-04,851,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_2,How to Maximize Credit Card Rewards,credit,2026-03-04,859,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_20,How to Maximize Credit Card Rewards,credit,2026-03-04,873,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_21,How to Maximize Credit Card Rewards,credit,2026-03-04,829,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_22,How to Maximize Credit Card Rewards,credit,2026-03-04,884,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_23,How to Maximize Credit Card Rewards,credit,2026-03-04,827,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_3,How to Maximize Credit Card Rewards,credit,2026-03-04,785,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_4,How to Maximize Credit Card Rewards,credit,2026-03-04,852,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_5,How to Maximize Credit Card Rewards,credit,2026-03-04,855,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_6,How to Maximize Credit Card Rewards,credit,2026-03-04,842,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_7,How to Maximize Credit Card Rewards,credit,2026-03-04,799,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_8,How to Maximize Credit Card Rewards,credit,2026-03-04,804,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
how-to-maximize-credit-card-rewards_9,How to Maximize Credit Card Rewards,credit,2026-03-04,840,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
top-credit-cards-for-groceries-2026,Top Credit Cards for Groceries 2026,credit,2026-03-04,893,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
top-credit-cards-for-groceries-2026_1,Top Credit Cards for Groceries 2026,credit,2026-03-04,894,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
top-credit-cards-for-groceries-2026_2,Top Credit Cards for Groceries 2026,credit,2026-03-04,873,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
top-credit-cards-for-groceries-2026_3,Top Credit Cards for Groceries 2026,credit,2026-03-04,929,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
top-credit-cards-for-groceries-2026_4,Top Credit Cards for Groceries 2026,credit,2026-03-04,1016,5,0.0,0,0,0.0,0,0,0.0,0,0,0.0
top-credit-cards-for-groceries-2026_5,Top Credit Cards for Groceries 2026,credit,2026-03-04,919,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
ultimate-credit-cards-for-groceries-2026,Ultimate Credit Cards for Groceries 2026,credit,2026-03-04,820,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
ultimate-credit-cards-for-groceries-2026_1,Ultimate Credit Cards for Groceries 2026,credit,2026-03-04,789,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0
ultimate-credit-cards-for-groceries-2026_2,Ultimate Credit Cards for Groceries 2026,credit,2026-03-04,782,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0
ultimate-credit-cards-for-groceries-2026_3,Ultimate Credit Cards for Groceries 2026,credit,2026-03-04,781,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0
ultimate-credit-cards-for-groceries-2026_4,Ultimate Credit Cards for Groceries 2026,credit,2026-03-04,812,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
ultimate-credit-cards-for-groceries-2026_5,Ultimate Credit Cards for Groceries 2026,credit,2026-03-04,909,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
